,Text,Label
0,on march 15 they re states where clinton is winning by 10 15 20 points ohio illinois big states which clinton needs to win now wide open,0
1,nfl draft prediction the buccaneers pass on mariota and winston and take thereal donaghy 1st overall,0
2,indiana primary is do or die for ted cruz and he may just win via nypost,1
3,less than 3 days from the nfldraft still believe the jets best option is trade down unless cooper williams or fowler there nyj,1
4,why boyhood should not and birdman should win the oscar for bestpicture eddieredmayne juliannemoore oscars,0
5,nfl rumors minnesota vikings selecting josh doctson in nfl draft the inquisitr minnesota vikings,1
6,nfl draft 2011 aldon smith s 2011 nfl draft profile for the st louis rams what you are about to read is an a,0
7,nfl draft 2012 chiefs linked to two most overrated prospects in ryan dontari poe wowed everyone at the n,0
8,chucktodd we are sure cruz will win texas don t get so happy when u doubt cruz cruzcrew texans,1
9,dallas cowboys reportedly showing interest in johnny manziel via si nfl,1
10,sportsbysharona dee ford cyril richardson jaylen watkins de anthony thomas aaron lynch and tyler starr nfldraft chiefs,0
11,eonline enews chiwetel s soulful indelible performance in 12 years a slave should win but matthew will win best actor oscars,0
12,no surprise as get close to nfldraft appears if chiefs can t deal branden albert eric fisher will be 1st pick per jasonlacanfora kc,0
13,trump rubio 2016 trump will win nevada and the great state of fla trump making nevada great again winning,1
14,stop being so good in dallas buyers club matthew mcconaughey i really want leo to win oscars,1
15,nfldraft vikings laquon treadwell could giants pluck him off the board at 10,0
16,2012 nfl draft should dallas cowboys eye quinton coples the dallas cowboys have their share of players to con,0
17,internal data of recent polls reveal big cruz win in iowa will schlong trump,1
18,robinson or matthews csnraiders poll if clowney mack amp watkins are gone by 5 i want raiders to draft in nfldraft,0
19,will leonardo dicaprio win oscars this year reasons why he s never won,0
20,2012 nfl draft coverage robert griffin iii washington redskins fantasyfootball,0
21,trump town hall in tampa fl if we win florida amp ohio i can start going after hillary not each other votetrump florida ohio,0
22,with the 15th pick in the nfl draft eagles select riley reiff,1
23,nfl draft on thursday robert griffin lll to the washington redskins,1
